date,avg_temperature,promotion_count,station_count,is_weekend,signup_count
2023-01-01,13.4,0,75,True,185
2023-01-02,15.3,2,63,False,218
2023-01-03,17.2,0,81,False,175
2023-01-04,18.7,0,78,False,170
2023-01-05,13.6,0,85,False,160
2023-01-06,12.0,1,44,False,138
2023-01-07,17.6,0,44,True,175
2023-01-08,16.5,1,73,True,216
2023-01-09,15.4,2,45,False,201
2023-01-10,13.8,1,63,False,181
2023-01-11,16.7,0,87,False,207
2023-01-12,18.5,0,56,False,165
2023-01-13,15.0,1,69,False,176
2023-01-14,21.1,0,69,True,197
2023-01-15,15.3,1,76,True,207
2023-01-16,19.4,0,82,False,200
2023-01-17,17.8,0,47,False,160
2023-01-18,20.9,1,86,False,252
2023-01-19,18.3,0,68,False,195
2023-01-20,17.5,0,41,False,173
2023-01-21,18.7,1,66,True,213
2023-01-22,18.6,1,85,True,250
2023-01-23,21.6,1,57,False,217
2023-01-24,18.4,0,40,False,158
2023-01-25,21.1,0,67,False,186
2023-01-26,18.8,1,79,False,207
2023-01-27,21.5,1,68,False,210
2023-01-28,18.9,0,87,True,249
2023-01-29,19.7,1,85,True,251
2023-01-30,17.4,0,68,False,206
2023-01-31,16.4,2,50,False,187
2023-02-01,20.1,1,49,False,186
2023-02-02,20.7,0,71,False,207
2023-02-03,14.3,0,78,False,156
2023-02-04,20.5,1,84,True,253
2023-02-05,16.8,1,81,True,226
2023-02-06,22.7,1,41,False,202
2023-02-07,19.9,0,87,False,216
2023-02-08,22.7,1,76,False,220
2023-02-09,20.2,0,55,False,184
2023-02-10,20.0,0,72,False,192
2023-02-11,22.9,0,47,True,210
2023-02-12,26.4,0,61,True,250
2023-02-13,18.7,0,50,False,153
2023-02-14,19.5,0,40,False,174
2023-02-15,15.5,1,40,False,184
2023-02-16,24.8,1,70,False,229
2023-02-17,18.8,3,42,False,222
2023-02-18,24.1,1,88,True,254
2023-02-19,22.4,2,83,True,276
2023-02-20,23.2,3,72,False,269
2023-02-21,21.5,0,79,False,211
2023-02-22,19.1,1,44,False,182
2023-02-23,24.8,0,40,False,193
2023-02-24,25.6,0,53,False,202
2023-02-25,24.3,0,40,True,193
2023-02-26,22.0,0,42,True,211
2023-02-27,25.9,0,80,False,220
2023-02-28,21.7,2,41,False,199
2023-03-01,25.9,1,61,False,245
2023-03-02,22.6,0,47,False,190
2023-03-03,22.3,1,81,False,232
2023-03-04,26.9,3,48,True,285
2023-03-05,21.0,0,88,True,248
2023-03-06,24.4,2,62,False,223
2023-03-07,21.8,0,49,False,177
2023-03-08,26.8,0,44,False,180
2023-03-09,24.2,0,56,False,184
2023-03-10,23.9,0,71,False,200
2023-03-11,23.7,0,83,True,239
2023-03-12,22.7,1,43,True,234
2023-03-13,26.5,1,78,False,216
2023-03-14,26.3,1,43,False,219
2023-03-15,20.0,1,51,False,196
2023-03-16,24.3,1,64,False,226
2023-03-17,27.4,0,41,False,202
2023-03-18,24.4,2,43,True,259
2023-03-19,20.5,1,52,True,208
2023-03-20,24.6,1,52,False,208
2023-03-21,27.8,1,85,False,267
2023-03-22,21.5,2,82,False,249
2023-03-23,25.3,0,66,False,205
2023-03-24,23.5,0,51,False,193
2023-03-25,28.0,1,71,True,256
2023-03-26,26.3,0,56,True,218
2023-03-27,24.4,1,55,False,224
2023-03-28,21.9,1,70,False,231
2023-03-29,24.1,2,78,False,258
2023-03-30,31.6,2,74,False,303
2023-03-31,24.6,0,57,False,205
2023-04-01,22.0,1,86,True,270
2023-04-02,25.4,0,89,True,261
2023-04-03,21.8,0,51,False,156
2023-04-04,20.9,0,46,False,157
